dbn,school_name,internal_school_id,num_test_takers,reading_score,math_score,writing_score,pct_students_tested,academic_tier_rating
10X243,WEST BRONX ACADEMY FOR THE FUTURE,532813,26.0,382.0,406.0,370.0,92.0,2.0
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,127586,52.0,304.0,356.0,302.0,92.0,2.0
10X284,BRONX SCHOOL OF LAW AND FINANCE,105294,54.0,402.0,395.0,385.0,,2.0
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,421471,49.0,300.0,333.0,301.0,78.0,
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),503135,111.0,390.0,408.0,383.0,85.0,3.0
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),909525,61.0,392.0,401.0,387.0,,2.0
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),567351,38.0,343.0,356.0,330.0,78.0,
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,538852,57.0,370.0,371.0,365.0,85.0,1.0
10X434,BELMONT PREPARATORY HIGH SCHOOL,730850,51.0,404.0,418.0,400.0,78.0,
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,438977,48.0,355.0,350.0,372.0,85.0,
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,918302,63.0,367.0,385.0,367.0,78.0,4.0
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,869041,65.0,366.0,364.0,352.0,,2.0
10X440,DEWITT CLINTON HIGH SCHOOL,367828,443.0,419.0,426.0,410.0,85.0,
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",202180,52.0,423.0,420.0,427.0,,1.0
10X445,BRONX HIGH SCHOOL OF SCIENCE,816688,731.0,632.0,688.0,649.0,,
10X475,JOHN F. KENNEDY HIGH SCHOOL,828171,109.0,351.0,362.0,339.0,78.0,3.0
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,782106,99.0,414.0,435.0,414.0,78.0,3.0
10X546,BRONX THEATRE HIGH SCHOOL,794120,68.0,348.0,362.0,354.0,78.0,4.0
10X549,DISCOVERY HIGH SCHOOL,410088,55.0,372.0,379.0,364.0,,
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,370212,73.0,362.0,382.0,356.0,85.0,
10X667,GRACE DODGE YABC,220963,10.0,350.0,356.0,317.0,,4.0
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,276137,92.0,636.0,648.0,636.0,,1.0
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,264250,74.0,370.0,381.0,382.0,,4.0
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,176092,46.0,400.0,357.0,390.0,,3.0
11X265,BRONX LAB SCHOOL,350123,81.0,377.0,391.0,367.0,78.0,4.0
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,112591,56.0,386.0,394.0,361.0,85.0,3.0
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,244509,72.0,381.0,376.0,354.0,,3.0
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,929871,97.0,444.0,471.0,433.0,92.0,3.0
11X290,BRONX ACADEMY OF HEALTH CAREERS,465490,69.0,387.0,365.0,383.0,78.0,4.0
11X299,ASTOR COLLEGIATE ACADEMY,421151,60.0,387.0,391.0,391.0,92.0,
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,222860,121.0,367.0,361.0,353.0,,
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,754398,48.0,419.0,433.0,416.0,78.0,
11X455,HARRY S TRUMAN HIGH SCHOOL,913285,189.0,386.0,397.0,368.0,78.0,1.0
11X513,NEW WORLD HIGH SCHOOL,406117,72.0,332.0,381.0,335.0,78.0,3.0
11X514,THE BRONXWOOD PREPARATORY ACADEMY,364885,48.0,377.0,372.0,363.0,85.0,2.0
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,781847,57.0,372.0,382.0,375.0,85.0,4.0
11X542,PELHAM PREPARATORY ACADEMY,229514,76.0,431.0,438.0,419.0,,2.0
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,330785,55.0,383.0,378.0,365.0,92.0,4.0
11X545,BRONX AEROSPACE HIGH SCHOOL,312943,46.0,388.0,393.0,382.0,,2.0
12X245,NEW DAY ACADEMY,827833,25.0,348.0,344.0,354.0,85.0,2.0
12X248,"METROPOLITAN HIGH SCHOOL, THE",653086,49.0,347.0,367.0,341.0,85.0,1.0
12X251,EXPLORATIONS ACADEMY,183547,57.0,381.0,381.0,360.0,,2.0
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,105176,30.0,361.0,353.0,360.0,85.0,
12X267,BRONX LATIN,871863,36.0,408.0,432.0,411.0,85.0,1.0
12X271,EAST BRONX ACADEMY FOR THE FUTURE,267221,46.0,366.0,378.0,358.0,,3.0
12X278,PEACE AND DIVERSITY ACADEMY,461474,34.0,390.0,401.0,364.0,85.0,3.0
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,963012,30.0,321.0,351.0,298.0,85.0,3.0
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,744847,14.0,380.0,372.0,349.0,78.0,4.0
12X480,BRONX REGIONAL HIGH SCHOOL,820126,16.0,398.0,385.0,398.0,,3.0
12X550,HIGH SCHOOL OF WORLD CULTURES,502593,42.0,304.0,323.0,312.0,85.0,3.0
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,620341,72.0,342.0,346.0,341.0,,3.0
12X684,WINGS ACADEMY,622580,66.0,378.0,374.0,362.0,,
12X690,MONROE ACADEMY FOR BUSINESS/LAW,489113,31.0,375.0,387.0,376.0,92.0,2.0
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,120278,43.0,332.0,357.0,349.0,,2.0
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,428147,29.0,352.0,349.0,373.0,,1.0
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,854662,9.0,439.0,374.0,418.0,78.0,2.0
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,185326,52.0,360.0,364.0,356.0,78.0,1.0
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",714886,37.0,375.0,355.0,384.0,78.0,3.0
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",160939,92.0,399.0,417.0,395.0,92.0,3.0
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,898973,1277.0,587.0,659.0,587.0,,4.0
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,220419,90.0,305.0,364.0,312.0,,
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,702270,105.0,400.0,417.0,389.0,92.0,2.0
13K499,ACORN COMMUNITY HIGH SCHOOL,987014,72.0,384.0,364.0,368.0,92.0,1.0
13K509,FREEDOM ACADEMY HIGH SCHOOL,856792,29.0,400.0,390.0,403.0,,3.0
13K553,BROOKLYN ACADEMY HIGH SCHOOL,967293,8.0,435.0,383.0,379.0,,2.0
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,684044,13.0,398.0,391.0,394.0,92.0,1.0
13K595,BEDFORD ACADEMY HIGH SCHOOL,805113,89.0,438.0,443.0,431.0,85.0,
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,937579,85.0,406.0,391.0,392.0,,
13K670,BENJAMIN BANNEKER ACADEMY,578072,185.0,471.0,472.0,448.0,,3.0
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",760103,20.0,441.0,499.0,413.0,,1.0
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,257116,102.0,365.0,361.0,359.0,78.0,4.0
14K404,ACADEMY FOR YOUNG WRITERS,994723,68.0,387.0,357.0,381.0,78.0,
14K449,"BROOKLYN LATIN SCHOOL, THE",384706,72.0,586.0,584.0,570.0,78.0,2.0
